const,Truck_percentage,AADT,Urban,Atlanta+Macon,Savannah,Interstate,3+ln
4.811,0.594,-0.401,-0.205,-0.224,0.118,0.685,-0.771
14.205,3.6757,-1.3492,,-0.1698,-0.2651,1.1833,
